post,label
"A Koch brothers group is going to college campuses, giving away free booze to try to bribe young folks out of getting health insurance.",Truth
"The Confederate battle flag at the South Carolina statehouse must fly at a height of 30 feet. Any changes -- taken down, or even at half-staff, if that can be done -- must be passed by a supermajority of the General Assembly.",Truth
There is over 20 times more energy in a proposed Southside uranium mining site than there is in all the oil thats estimated to be off Virginias coast,Truth
"Measures in Barack Obama's health plan could ""lower health care costs for the typical family by $2,500 a year.""",Truth
China is in the South China Sea and (building)a military fortress the likes of which perhaps the world has not seen.,Truth
Said he won the Democratic primary without one ... negative TV spot.,Truth
"Says Cresent Hardy agreed with Mitt Romney about the 47 percent and said that people with disabilities are, and I quote him, a drain on society.",Truth
"Ive got the spending down, Ive got the debt down a little bit, Ive got the reserves up.",Truth
More than one in five of veterans aged 20 to 24 cant find a job to support their family or to ease the transition to civilian life.,Truth
TSA WILL ACCEPT DRIVERS PRIV CARDS FOR ID AT THE AIRPORT,Truth
Every student paying out-of-state tuition actually covers more than the cost of instruction.,Truth
60 percent of all Americans do not want to see Planned Parenthood defunded.,Truth
Jennifer Carroll is the first African-American Republican woman to be part of a statewide ticket in Florida.,Truth
More black babies are aborted in NYC than born.,Truth
"Says 80 percent of North Carolinians support the concept that men should not be in womens restrooms, changing rooms, bathrooms, etc.",Truth
"McCain ""said he was 'stumped' when asked whether contraceptives help stop the spread of HIV.""",Truth
"When I was governor, not only did test scores improve we also narrowed the achievement gap.",Truth
"Says Texas has the fourth-lowest debt per capita of any state in the nation, and we are the lowest of any of the big states.",Truth
"Says traffic fatalities have fallen dramatically, even as population has risen. You are more likely to stay alive biking, walking and driving around Portland than you were before he took over the Portland Bureau of Transportation.",Truth
"The Republican who was just elected governor of the great state of Florida paid his campaign staffers, not with money, but with American Express gift cards.",Truth
Kasim Reed has kept every promise he made as a candidate.,Truth
"For now, we are still below average in the metro region.",Truth
"If youre a wealthy CEO or a hedge fund manager in America right now, your taxes are lower than theyve been since the 1950s.",Truth
"The Bush administration has ""the Pentagon trying to take away the signing bonuses when a soldier gets wounded and ends up in the hospital, something that I'm working with a Republican senator to try to make sure never can happen again.""",Truth
"The richest 400 taxpayers are taxed at a lower rate than a $29,000-a-year worker",Truth
Says the New Years Day fiscal cliff deal reduces the deficit.,Truth
Three thousand felons voted in Rhode Island in 2008.,Truth
Social Security and other federal checks may not go out on Aug. 3 if the debt ceiling is not increased.,Truth
"Jeff Mann has an ethics complaint against him alleging he used county workers for campaign work, which is an indictable offense.",Truth
"Says 100,000 are on waiting list to attend Texas charter schools.",Truth
"Says Donald Trump has bankrupted his companies not once, not twice but four times.",Truth
Says thatRepublican Darryl Glennhas described Democrats as evil and has said hes tired of hearing about Republicans reaching across the aisle.,Truth
"Says Hillary Clinton and the Democrats admitted theres one candidate who scares Hillary Clinton, and thats Sen. Marco Rubio.",Truth
"Guess what, governor Theres no fried butter in Newark. Just 13 percent unemployment.",Truth
Says Republican-approved changes to make it more difficult to participate in Ohio elections include reducing in-person early voting from 35 days to six.,Truth
"Forty years ago ... about half of congressional districts were genuinely competitive. Today, only about 10 percent of House races on Cook Political Report are listed as toss-ups or lean to one party.",Truth
"Says Ted Strickland in this campaign bragged about his A-plus rating with the NRA. ... He has said he has a mixed and spotty record on this issue and that he can be criticized for it. Those are his words, not mine. So I dont know where he is on this issue.",Truth
"Lizbeth Benacquisto broke election law 105 times, hiding special interest contributors.",Truth
Congress has spent 66 of the first 100 days of this term in recess.,Truth
Says spending in the fiscal 2009 budget was lower than spending in the fiscal 2014 budget,Truth
Pollsters saydont actually believe our own data and Gallup stopped primary polling because they dont trust their methodology.,Truth
Theres actually 600 abortions done after the 20th week of pregnancy every year in Ohio.,Truth
"Says that under Gov. Rick Perry, Texas Department of Public Safety troopers have had standing orders not to inquire into the immigration status of people unless theyre under arrest.",Truth
The stock market does better when you have a Democratic president in the White House.,Truth
Says Donald Trump won more counties than any candidate on our side since Ronald Reagan.,Truth
Says Michelle Nunn has acknowledged allowing a convicted felon to hold a fundraiser for her.,Truth
Says Texas unemployment rate has doubled on Rick Perrys watch.,Truth
"The musical Mamma Mia! has ""been selling out for years.""",Truth
Georgia is nearly 50 percent Democratic and (the Republican majority) diminished our voting strength to 32 percent through gerrymandered maps.,Truth
"There currently are 825,000 student stations sitting empty across Florida in every district and at every grade level.",Truth
"Says Barack Obama has pension investments that include Chinese firms, and investments through a Caymans trust.",Truth
We caught (the Texas Commission on Environmental Quality) lying to us about the results of air quality studies in the Barnett Shale.,Truth
The new Ukrainian government introduced a law abolishing the use of languages other than Ukrainian in official circumstances.,Truth
Each U.S. House member who voted to overhaul Social Security in 1983 was re-elected.,Truth
Nearly half of African-American children under the age of 6 are living in abject poverty.,Truth
More than 80 percent of sex trafficking victims in America are U.S. citizens.,Truth
"Says the Texas Board of Nursing has a backlog of 3,000 complaints against nurses, many of them sexual assaults, malfeasance.",Truth
Torture is illegal by our laws. Its illegal by international laws.,Truth
"One out of two Americans are living either in or near poverty. That means 150 million Americans, half of us.",Truth
CBO reports that delaying the Obamacare individual mandate will reduce the deficit by $35 billion over ten years.,Truth
"When a bill is sent to the governors office, there is no option for changing it. You sign it or you dont sign it. While there was lots of conversation, there was really no opportunity for any sort of amending.",Truth
Chris Christie has not been effective at creating jobs (or have) a record of governing for effectiveness. ... New Jersey (has) one of the higher unemployment rates in the country at 9.4 percent.,Truth
