post,label
"Democratic Sens. Ed Markey, Al Franken and Jeanne Shaheen took Bribes From Iran They Back Insane NUKE Deal.",Deception
"Says Alaska Sen. Mark Begich is on record supporting a carbon tax, even pushing Harry Reid to make it a priority.",Deception
Says new mandates are already reducing full-time employment.,Deception
"Back in the Great Recession, when millions of jobs across America hung in the balance, Donald Trump said rescuing the auto industry didnt really matter very much. He said, and I quote again, Let it go.",Deception
A friends sister died from Obamacare becauseBlue Shield completely just pulled out of California.,Deception
"Because of Obamacare, you have so many part-time jobs.",Deception
Says George Washington said a free people should be armed to guard against government tyranny.,Deception
Speaker Gingrich has said that we ought to get rid of our child labor laws.,Deception
CNN accidentally aired 30 minutes of pornography in Boston on Thanksgiving night.,Deception
"There comes a point in the last year of the president, especially in their second term, where you stop nominating both Supreme Court justices and Court of Appeals judges.",Deception
The State Department asked all secretaries of state to send their emails over. Hillary Clintonsthe only one whos done it.,Deception
College students who are NOT U.S. Citizens and who get the PELL Grant plan to return to their home countries after getting free gas cards and child care.,Deception
We have one charter school that for seven years has been rated unacceptable.,Deception
Says the claims that Texas faces a $27 billion shortfall are flat-out false.,Deception
Says Having organizations parading as being social welfare organizations and then being involved in the political combat harkens back to why the statute a hundred years ago said that they were prohibited.,Deception
The city of Charlotte passed a bathroom ordinance mandate on every private-sector employer in Charlotte.,Deception
The health care law is accelerating our country toward bankruptcy.,Deception
Roughly 700 Georgians die needlessly each year because they are too far from a trauma center.,Deception
"Weve seen local union after local union rush to their school boards, their city councils, their technical school boards and rush through contracts in the past two weeks that had no contributions to the pension and no contribution to health care.",Deception
"Because Gov. Chris Christie vetoed a 30-bill job creation package, New Jersey ranks 50th in the nation in job creation.",Deception
"By advocating new requirements for voters to show ID cards at the polls, Republicans want to literally drag us all the way back to Jim Crow laws.",Deception
4.7 million people have lost their insurance in 32 states due to Obamacare.,Deception
"Says nearly 30,000 federal employees in Oregon were furloughed during the government shutdown.",Deception
Fidel Castro endorses Obama.,Deception
Tim Kaine announced he wants to raise taxes on everyone.,Deception
"In his first meeting with University of Wisconsin System officials, Republican Governor elect Scott Walker told them to prepare for cuts.",Deception
"Before this law, any group could go out anywhere, register voters, sit on the voter registration forms for unlimited amount of time.",Deception
"Over the past eight years, black youth unemployment is up.",Deception
Donald Trumps been completely consistent about his plan for nonviolent undocumented immigrants.,Deception
"Says Republican opponent Jason Isaac is peddling a plan meaning Texans would pay the highest sales taxes in America, up to 14.5 percent.",Deception
"Obama says his health care plan is ""universal.""",Deception
"Says Russ Feingold voted to raise taxes on Social Security benefits for seniors, he even tried to give Social Security benefits to illegal immigrants.",Deception
75 percent of the Obamacare tax falls on the middle class.,Deception
Floridas proposed Health Care Freedom Act will allow Floridians to opt out of Obamas govt. takeover of healthcare!,Deception
"Says Congressman Jon Runyan has a plan to raise Medicare costs $6,400 a year.",Deception
"Says he first unveiled his new legislative agenda in Wisconsin, not in California as critics complain",Deception
"Since sequester began federal employment has been subtracting 6,000-7,000 jobs per month",Deception
"The average federal employee makes $120,000 a year. The average private employee makes $60,000 a year.",Deception
On high-speed rail.,Deception
Suntrust Bank cancels account because company sells guns.,Deception
Hartsfield-Jacksons new international terminal is opening within budget.,Deception
Says that PolitiFact Ohio confirms that Betty Sutton maxed out federal debt,Deception
Warren Buffett says stop Obamacare now and start over.,Deception
Minnick voted to let the government fund abortion under Obamacare.,Deception
"Says 13 Texas universities have announced or implemented a $10,000 degree.",Deception
